01,"Culture et production animale, chasse et services annexes","Culture et production animale, chasse et services annexes","Cult. & prod. animale, chasse & sce ann."
01.1,Cultures non permanentes,Cultures non permanentes,Cultures non permanentes
01.11,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","Culture de céréales (sf riz) légumineuses, graines oléagineuses","Cult céréale, légumineuse, graine oléag."
01.11Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","Culture de céréales (sf riz) légumineuses, graines oléagineuses","Cult céréale, légumineuse, graine oléag."
01.12,Culture du riz,Culture du riz,Culture du riz
01.12Z,Culture du riz,Culture du riz,Culture du riz
01.13,"Culture de légumes, de melons, de racines et de tubercules","Culture de légumes, de melons, de racines et de tubercules","Cult. légume, melon, racine & tubercule"
01.13Z,"Culture de légumes, de melons, de racines et de tubercules","Culture de légumes, de melons, de racines et de tubercules","Cult. légume, melon, racine & tubercule"
01.14,Culture de la canne à sucre,Culture de la canne à sucre,Culture de la canne à sucre
01.14Z,Culture de la canne à sucre,Culture de la canne à sucre,Culture de la canne à sucre
01.15,Culture du tabac,Culture du tabac,Culture du tabac
01.15Z,Culture du tabac,Culture du tabac,Culture du tabac
01.16,Culture de plantes à fibres,Culture de plantes à fibres,Culture de plantes à fibres
01.16Z,Culture de plantes à fibres,Culture de plantes à fibres,Culture de plantes à fibres
01.19,Autres cultures non permanentes,Autres cultures non permanentes,Autres cultures non permanentes
01.19Z,Autres cultures non permanentes,Autres cultures non permanentes,Autres cultures non permanentes
01.2,Cultures permanentes,Cultures permanentes,Cultures permanentes
01.21,Culture de la vigne,Culture de la vigne,Culture de la vigne
01.21Z,Culture de la vigne,Culture de la vigne,Culture de la vigne
01.22,Culture de fruits tropicaux et subtropicaux,Culture de fruits tropicaux et subtropicaux,Culture fruits tropicaux et subtropicaux
01.22Z,Culture de fruits tropicaux et subtropicaux,Culture de fruits tropicaux et subtropicaux,Culture fruits tropicaux et subtropicaux
01.23,Culture d'agrumes,Culture d'agrumes,Culture d'agrumes
01.23Z,Culture d'agrumes,Culture d'agrumes,Culture d'agrumes
01.24,Culture de fruits à pépins et à noyau,Culture de fruits à pépins et à noyau,Culture de fruits à pépins et à noyau
01.24Z,Culture de fruits à pépins et à noyau,Culture de fruits à pépins et à noyau,Culture de fruits à pépins et à noyau
01.25,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,Culture d'aut. fruits d'arbres ou d'arbustes et de fruits a coque,Cult. d'aut. fruits & de fruits à coque
01.25Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,Culture d'aut. fruits d'arbres ou d'arbustes et de fruits a coque,Cult. d'aut. fruits & de fruits à coque
01.26,Culture de fruits oléagineux,Culture de fruits oléagineux,Culture de fruits oléagineux
01.26Z,Culture de fruits oléagineux,Culture de fruits oléagineux,Culture de fruits oléagineux
01.27,Culture de plantes à boissons,Culture de plantes à boissons,Culture de plantes à boissons
01.27Z,Culture de plantes à boissons,Culture de plantes à boissons,Culture de plantes à boissons
01.28,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",Culture plantes à épices aromatiques médicinales pharmaceutiques,Cult. plante aromatiq. médicin. pharma.
01.28Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",Culture plantes à épices aromatiques médicinales pharmaceutiques,Cult. plante aromatiq. médicin. pharma.
01.29,Autres cultures permanentes,Autres cultures permanentes,Autres cultures permanentes
01.29Z,Autres cultures permanentes,Autres cultures permanentes,Autres cultures permanentes
01.3,Reproduction de plantes,Reproduction de plantes,Reproduction de plantes
01.30,Reproduction de plantes,Reproduction de plantes,Reproduction de plantes
01.30Z,Reproduction de plantes,Reproduction de plantes,Reproduction de plantes
01.4,Production animale,Production animale,Production animale
01.41,Élevage de vaches laitières,Élevage de vaches laitières,Élevage de vaches laitières
01.41Z,Élevage de vaches laitières,Élevage de vaches laitières,Élevage de vaches laitières
01.42,Élevage d'autres bovins et de buffles,Élevage d'autres bovins et de buffles,Élevage d'autres bovins et de buffles
01.42Z,Élevage d'autres bovins et de buffles,Élevage d'autres bovins et de buffles,Élevage d'autres bovins et de buffles
01.43,Élevage de chevaux et d'autres équidés,Élevage de chevaux et d'autres équidés,Élevage de chevaux et d'autres équidés
01.43Z,Élevage de chevaux et d'autres équidés,Élevage de chevaux et d'autres équidés,Élevage de chevaux et d'autres équidés
01.44,Élevage de chameaux et d'autres camélidés,Élevage de chameaux et d'autres camélidés,Élevage de chameaux & d'autres camélidés
01.44Z,Élevage de chameaux et d'autres camélidés,Élevage de chameaux et d'autres camélidés,Élevage de chameaux & d'autres camélidés
01.45,Élevage d'ovins et de caprins,Élevage d'ovins et de caprins,Élevage d'ovins et de caprins
01.45Z,Élevage d'ovins et de caprins,Élevage d'ovins et de caprins,Élevage d'ovins et de caprins
01.46,Élevage de porcins,Élevage de porcins,Élevage de porcins
01.46Z,Élevage de porcins,Élevage de porcins,Élevage de porcins
01.47,Élevage de volailles,Élevage de volailles,Élevage de volailles
01.47Z,Élevage de volailles,Élevage de volailles,Élevage de volailles
01.49,Élevage d'autres animaux,Élevage d'autres animaux,Élevage d'autres animaux
01.49Z,Élevage d'autres animaux,Élevage d'autres animaux,Élevage d'autres animaux
01.5,Culture et élevage associés,Culture et élevage associés,Culture et élevage associés
01.50,Culture et élevage associés,Culture et élevage associés,Culture et élevage associés
01.50Z,Culture et élevage associés,Culture et élevage associés,Culture et élevage associés
01.6,Activités de soutien à l'agriculture et traitement primaire des récoltes,Activ. soutien à l'agriculture & trt primaire des récoltes,Act. soutien agr. & trait. prim. récolt.
01.61,Activités de soutien aux cultures,Activités de soutien aux cultures,Activités de soutien aux cultures
01.61Z,Activités de soutien aux cultures,Activités de soutien aux cultures,Activités de soutien aux cultures
01.62,Activités de soutien à la production animale,Activités de soutien à la production animale,Activités de soutien à la prod. animale
01.62Z,Activités de soutien à la production animale,Activités de soutien à la production animale,Activités de soutien à la prod. animale
01.63,Traitement primaire des récoltes,Traitement primaire des récoltes,Traitement primaire des récoltes
01.63Z,Traitement primaire des récoltes,Traitement primaire des récoltes,Traitement primaire des récoltes
01.64,Traitement des semences,Traitement des semences,Traitement des semences
01.64Z,Traitement des semences,Traitement des semences,Traitement des semences
01.7,"Chasse, piégeage et services annexes","Chasse, piégeage et services annexes","Chasse, piégeage et services annexes"
01.70,"Chasse, piégeage et services annexes","Chasse, piégeage et services annexes","Chasse, piégeage et services annexes"
01.70Z,"Chasse, piégeage et services annexes","Chasse, piégeage et services annexes","Chasse, piégeage et services annexes"
02,Sylviculture et exploitation forestière,Sylviculture et exploitation forestière,Sylviculture et exploitation forestière
02.1,Sylviculture et autres activités forestières,Sylviculture et autres activités forestières,Sylviculture & autres act. forestières
02.10,Sylviculture et autres activités forestières,Sylviculture et autres activités forestières,Sylviculture & autres act. forestières
02.10Z,Sylviculture et autres activités forestières,Sylviculture et autres activités forestières,Sylviculture & autres act. forestières
02.2,Exploitation forestière,Exploitation forestière,Exploitation forestière
02.20,Exploitation forestière,Exploitation forestière,Exploitation forestière
02.20Z,Exploitation forestière,Exploitation forestière,Exploitation forestière
02.3,Récolte de produits forestiers non ligneux poussant à l'état sauvage,Récolte produits forestiers non ligneux poussant à l'état sauvage,Récolte prodts forestiers non ligneux
02.30,Récolte de produits forestiers non ligneux poussant à l'état sauvage,Récolte prod. forestiers non ligneux poussant à l'état sauvage,Récolte prodts forestiers non ligneux
